"","location_fine","pop_density"
"192","E09000025",9756.1609017571
"193","E09000028",11040.6992246612
"194","E09000030",16425.3199130039
"195","E09000032",9622.26262991836
"196","E09000033",12164.1235232234
"197","E09000002",5897.49342817809
"198","E09000003",4562.45310700995
"199","E09000004",4098.59257229451
"200","E09000005",7627.16137328732
"201","E09000006",2213.61649635056
"202","E09000008",4471.21993971467
"203","E09000009",6153.96525897333
"204","E09000010",4130.03534967972
"205","E09000011",6086.1404617521
"206","E09000015",4976.97386672585
"207","E09000016",2310.34077597656
"208","E09000017",2652.19412951302
"209","E09000018",4851.84801332314
"210","E09000021",4764.0991645039
"211","E09000024",5489.77915750809
"212","E09000026",5411.98707741846
"213","E09000027",3450.25316852695
"214","E09000029",4706.01784806114
"215","E09000031",7136.86092831266
"216","E06000036",1120.35273800719
"217","E06000043",3511.70003295784
"218","E06000060",347.59788672999
"219","E06000046",373.45503398135
"220","E06000035",1437.97408759915
"221","E06000042",873.083890667917
"222","E06000044",5320.16814211871
"223","E06000038",4004.66360875194
"224","E06000039",4595.27562926565
"225","E06000045",5062.46892591939
"226","E06000037",225.016878040994
"227","E06000040",770.588753176181
"228","E06000041",956.156354157645
"229","E07000061",2349.21821043216
"230","E07000062",3109.83652222942
"231","E07000063",353.527988031783
"232","E07000064",188.598764960752
"233","E07000065",193.81833829357
"234","E07000084",278.600789217965
"235","E07000085",237.753391020236
"236","E07000086",1676.53127306134
"237","E07000087",1565.28425679534
"238","E07000088",3343.55393006905
"239","E07000089",450.946507792721
"240","E07000090",2264.45017743157
"241","E07000091",239.420220336905
"242","E07000092",2422.81982328083
"243","E07000093",201.021263224884
"244","E07000094",188.90258760492
"245","E07000105",223.954784667075
"246","E07000106",535.684557798056
"247","E07000107",1548.37024152464
"248","E07000108",374.617196347156
"249","E07000112",316.585462889547
"250","E07000109",1080.28685349117
"251","E07000110",436.850131213176
"252","E07000111",327.031311318371
"253","E07000113",401.89397509833
"254","E07000114",1369.78315611274
"255","E07000115",550.375612937511
"256","E07000116",358.326942398893
"257","E07000177",255.63524346521
"258","E07000178",3343.15731305383
"259","E07000179",209.362624283129
"260","E07000180",235.451083746333
"261","E07000181",154.87065067985
"262","E07000207",1439.15507567939
"263","E07000208",2365.85738011819
"264","E07000209",549.947938793295
"265","E07000210",337.738574200869
"266","E07000211",1151.80043346995
"267","E07000212",1145.86363269422
"268","E07000213",2224.29652534425
"269","E07000214",939.133269536138
"270","E07000215",355.080104450256
"271","E07000216",365.987456047059
"272","E07000217",1584.71088023596
"273","E07000223",1528.59231436688
"274","E07000224",727.440730671629
"275","E07000225",154.06995823427
"276","E07000226",2499.58306556878
"277","E07000227",271.161183732252
"278","E07000228",452.12187909208
"279","E07000229",3399.96740557611
"280","E06000022",558.814566729483
"281","E06000058",2439.25930816357
"282","E06000023",4225.3286099219
"283","E06000052",160.651407954131
"284","E06000059",151.952849926869
"285","E06000053",136.29371786465
"286","E06000024",575.390890259623
"287","E06000026",3282.41684063935
"288","E06000025",573.569140216654
"289","E06000030",965.664797714666
"290","E06000027",2166.81746696837
"291","E06000054",153.601254309076
"292","E07000040",179.656066536264
"293","E07000041",2793.88345654443
"294","E07000042",90.1645288223939
"295","E07000043",89.4615253279857
"296","E07000044",98.1384001401397
"297","E07000045",199.122609647079
"298","E07000046",69.3890980433691
"299","E07000047",48.1135464519579
"300","E07000078",2496.04580640869
"301","E07000079",77.1662795844002
"302","E07000080",165.032617287514
"303","E07000081",3184.1787290706
"304","E07000082",260.484385788918
"305","E07000083",229.284986236
"306","E07000187",156.317872712647
"307","E07000188",218.314080334789
"308","E07000246",130.612730874201
"309","E07000189",175.534891606722
